"source_term","chosen_arabic","status","adverse_or_rejected","aliases_or_notes","domain_or_context","review_status","review_date","reviewer","evidence_or_rationale"
"less-than relation called order relation or ordering relation in reflections","حفظ علاقة الترتيب كما في المصدر","source_taxonomy_wording_preserved","تقوية الوصف صامتًا إلى ترتيب صارم","تصف الوحدة العلاقة < بلفظي order relation وordering relation مع أن الوحدة المجاورة تعرض strict order بوصفه نوعًا أخص","relations and philosophy of set-theoretic reduction","independent source audit verified; human review none; upstream clarification not required","2026-08-13","Codex","حُفظت عمومية الصياغة في الحجة الفلسفية ولم تُستبدل بمصطلح ترتيب صارم، لأن ذلك سيغير ألفاظ الدعوى المصدرية"
"reflexive; irreflexive; not reflexive","انعكاسية؛ لا انعكاسية؛ غير انعكاسية","chosen_distinctions","استعمال غير انعكاسية لـ irreflexive؛ مساواة لا انعكاسية بمجرد نفي الانعكاسية","لا انعكاسية تعني لكل x نفي Rxx؛ أما غير انعكاسية فتنفي شرط الانعكاسية فقط وقد تبقى بعض الحلقات","relations","independent source audit plus semantic self-replay passed; human review none; expert review pending","2026-08-13","Codex","يحفظ إمكان وجود علاقة ليست انعكاسية ولا لا انعكاسية، ويمنع إسقاط الكم الكلي من الخاصية السالبة"
"symmetric; anti-symmetric; asymmetric; not symmetric","متناظرة؛ مضادّة للتناظر؛ لا تناظرية؛ غير متناظرة","chosen_distinctions","ترجمة anti-symmetric وasymmetric وnot symmetric برأس واحد","مضادّة التناظر تسمح بالاتجاهين معًا فقط عند المساواة؛ اللاتناظرية تمنعهما لكل زوج؛ وغير المتناظرة مجرد نفي للتناظر","relations","independent source audit plus semantic self-replay passed; human review none; expert and regional review pending","2026-08-13","Codex","يحفظ أن علاقة الهوية متناظرة ومضادّة للتناظر، وأن كل علاقة لا تناظرية مضادّة للتناظر، مع عدم صحة العكس"
"transitive relation","علاقة متعدية","chosen","علاقة انتقالية بوصفها الرأس الوحيد","علاقة تحقق أن Rxy وRyz يستلزمان Rxz؛ الانتقالية مرادف إقليمي محتمل يحتاج ربطًا بمصدر","relations","independent source audit plus semantic self-replay passed; human review none; regional review pending","2026-08-13","Codex","يحفظ اتجاه الاستلزام والمتغير الوسيط y ولا يبدل ترتيب x وz"
"connected relation (connex on distinct pairs)","علاقة متصلة","chosen_with_scope_warning","علاقة مترابطة؛ علاقة كلية بوصفها رأسًا وحيدًا","الاتصال هنا: لكل x لا يساوي y يصدق Rxy أو Ryx على الأقل؛ لا يعني اتصال رسم أو فضاء طوبولوجي","relations and order theory","independent source audit plus semantic self-replay passed; human review none; terminology review pending","2026-08-13","Codex","حُفظ استبعاد المساواة وكون أو جامعة تسمح بصدق الاتجاهين؛ لا تُستنتج لا انعكاسية أو مضادّة تناظر من الخاصية وحدها"
"equivalence relation","علاقة تكافؤ","chosen","علاقة تعادل بوصفها الرأس الوحيد","العلاقة الانعكاسية والمتناظرة والمتعدية في الاستعمال القياسي","relations","independent source audit plus semantic self-replay passed; human review none; regional review pending","2026-08-13","Codex","يرد المصطلح في المقدمة بوصفه تركيبًا مهمًا من الخصائص ولا يعرّف كاملًا بعد في هذه الوحدة"
"special-properties closing scope and vacuity","حفظ نطاق الشرط الختامي كما في المصدر","source_scope_ambiguity_preserved","إعادة توزيع شرط A nonempty أو تقييد دعوى الوجود بكل مجموعة صامتًا","يضع المصدر نفي اجتماع الانعكاسية واللاانعكاسية ثم تضمين اللاتناظرية في مضادّة التناظر بعد شرط A غير الخالية، ثم يقرر وجود أمثلة بلا تقييد ظاهر","source logic and empty-domain edge cases","independent source audit verified; human review none; upstream clarification pending","2026-08-13","Codex","التضمين asymmetric to antisymmetric صحيح حتى للمجال الخالي؛ ووجود علاقة ليست انعكاسية ولا لا انعكاسية يحتاج مجالًا فيه قطر حاضر وآخر غائب، فلا يصح لكل مجموعة أحادية؛ لم تُقوَّ الدعوى أو يُعد نطاقها"
"equivalence class; R-equivalent","فئة تكافؤ؛ متكافئان وفق R","chosen","صنف تكافؤ بوصفه الرأس الوحيد؛ متساويان وفق R","صنف التكافؤ وطبقة التكافؤ: مرادفان إقليميان يحتاجان ربطًا بمصادر؛ التكافؤ لا يعني مساواة العنصرين","equivalence relations","independent source audit plus semantic self-replay passed; human review none; regional review pending","2026-08-13","Codex","تحفظ فئة x المجموعة {y in A | Rxy} وتحفظ أن عناصر الفئة الواحدة مترابطة بالعلاقة R لا أنها كائن واحد"
"quotient of A under R; quotient set","مجموعة قسمة A بالنسبة إلى R؛ مجموعة القسمة","chosen","ناتج قسمة A على R بوصفه الرأس الوحيد؛ فضاء القسمة في كل سياق","خارج القسمة: مرادف تقني محتمل؛ فضاء القسمة يخصص بسياق طوبولوجي أو هندسي","equivalence relations and quotient constructions","independent source audit plus semantic self-replay passed; human review none; expert and regional review pending","2026-08-13","Codex","يحفظ أن quotient هنا مجموعة فئات التكافؤ نفسها بالترميز equivclass(A,R)، لا عددًا أو عملية قسمة حسابية"
"partition; block of a partition","تجزئة؛ كتلة من التجزئة","chosen_with_source_wording_correction","تقسيم بوصفه الرأس الوحيد؛ تسمية كل فئة تجزئة كاملة","قسم أو جزء: شرح عام؛ التجزئة هي الأسرة التي تغطي A بكتل غير خالية متباينة اثنتين اثنتين","set theory and equivalence relations","independent source audit plus semantic self-replay passed; human review none; expert review pending","2026-08-13","Codex","يستعمل المصدر partitions للكتل المنفردة في الفقرة التفسيرية؛ صيغ السطح العربي بكتل مختلفة وكتل تجزئة كي لا يساوي الفئة الواحدة بالتجزئة كلها"
"representative of an equivalence class","ممثل فئة التكافؤ","chosen","عنصر مولد بوصفه الرأس الوحيد","قد تمثل عناصر متعددة الفئة نفسها؛ لا يدل الترميز equivrep(x,R) على ممثل وحيد أو مختار قانونيًا","equivalence classes and quotient notation","independent source audit plus semantic self-replay passed; human review none; expert review pending","2026-08-13","Codex","حُفظت جميع وقائع x وy وصيغ الوجود؛ البرهان يستعمل انعكاسية R لإثبات أن y ينتمي إلى فئته ثم مساواة الفئتين لإرجاع Rxy"
